iter	Passed	Remaining
0	142	141987
1	143	71382
2	143	47816
3	144	35994
4	145	28900
5	146	24205
6	146	20841
7	147	18325
8	148	16370
9	149	14799
10	150	13515
11	151	12441
12	151	11523
13	152	10758
14	153	10094
15	154	9518
16	155	8995
17	156	8524
18	157	8110
19	158	7743
20	159	7424
21	160	7123
22	161	6843
23	161	6586
24	162	6350
25	164	6144
26	164	5941
27	165	5748
28	166	5571
29	167	5405
30	168	5253
31	168	5104
32	169	4964
33	170	4839
34	171	4724
35	172	4611
36	173	4505
37	173	4401
38	174	4306
39	175	4215
40	182	4258
41	182	4169
42	183	4086
43	184	4006
44	185	3941
45	186	3874
46	187	3805
47	188	3742
48	189	3681
49	190	3620
50	191	3559
51	192	3503
52	192	3447
53	194	3406
54	195	3362
55	196	3311
56	197	3261
57	197	3212
58	198	3165
59	199	3123
60	200	3083
61	201	3044
62	202	3005
63	202	2964
64	203	2925
65	204	2889
66	204	2854
67	206	2824
68	207	2794
69	208	2766
70	209	2736
71	209	2704
72	210	2674
73	211	2645
74	212	2619
75	213	2593
76	214	2566
77	215	2541
78	215	2516
79	216	2492
80	217	2469
81	218	2447
82	219	2419
83	219	2398
84	220	2377
85	221	2356
86	222	2335
87	223	2314
88	224	2294
89	225	2276
90	225	2256
91	226	2236
92	227	2217
93	228	2198
94	229	2181
95	229	2163
96	230	2149
97	231	2133
98	232	2116
99	233	2100
100	234	2084
101	234	2068
102	235	2052
103	236	2036
104	237	2025
105	238	2013
106	239	2002
107	240	1989
108	242	1978
109	243	1968
110	244	1957
111	245	1945
112	246	1934
113	247	1922
114	248	1910
115	249	1901
116	250	1888
117	250	1876
118	251	1864
119	252	1852
120	253	1840
121	253	1826
122	254	1817
123	255	1806
124	256	1797
125	257	1785
126	257	1773
127	258	1762
128	259	1751
129	260	1741
130	261	1731
131	262	1723
132	262	1713
133	263	1703
134	264	1694
135	265	1683
136	265	1674
137	266	1665
138	267	1655
139	268	1649
140	269	1639
141	269	1629
142	270	1620
143	270	1610
144	271	1601
145	272	1593
146	273	1585
147	274	1577
148	275	1571
149	276	1564
150	276	1555
151	277	1548
152	278	1541
153	279	1534
154	280	1529
155	281	1523
156	282	1517
157	283	1510
158	284	1504
159	285	1497
160	285	1488
161	286	1483
162	287	1477
163	288	1470
164	289	1464
165	290	1457
166	291	1451
167	291	1445
168	293	1443
169	294	1437
170	295	1431
171	296	1425
172	296	1419
173	297	1412
174	298	1407
175	299	1403
176	300	1397
177	301	1392
178	302	1386
179	302	1380
180	303	1374
181	305	1372
182	306	1367
183	307	1362
184	307	1356
185	308	1351
186	309	1346
187	310	1341
188	311	1337
189	312	1333
190	314	1330
191	315	1325
192	315	1320
193	316	1316
194	318	1314
195	319	1309
196	320	1304
197	321	1301
198	322	1296
199	322	1291
200	323	1287
201	325	1284
202	325	1279
203	326	1275
204	327	1270
205	328	1265
206	329	1261
207	330	1258
208	331	1254
209	332	1250
210	333	1246
211	334	1242
212	334	1237
213	336	1234
214	337	1230
215	337	1226
216	339	1224
217	339	1219
218	340	1215
219	341	1211
220	342	1208
221	343	1205
222	344	1201
223	345	1197
224	346	1193
225	347	1191
226	349	1189
227	350	1185
228	350	1181
229	351	1177
230	352	1174
231	353	1170
232	354	1167
233	355	1164
234	356	1161
235	357	1158
236	358	1154
237	359	1150
238	360	1146
239	360	1143
240	362	1140
241	362	1136
242	363	1133
243	364	1129
244	365	1125
245	366	1122
246	367	1119
247	368	1116
248	369	1113
249	370	1110
250	370	1106
251	371	1104
252	373	1101
253	374	1099
254	375	1096
255	376	1092
256	376	1089
257	377	1086
258	378	1083
259	379	1080
260	380	1076
261	381	1073
262	381	1069
263	382	1065
264	383	1062
265	383	1058
266	385	1057
267	385	1053
268	386	1050
269	387	1046
270	387	1043
271	388	1040
272	389	1037
273	390	1035
274	391	1032
275	392	1029
276	393	1027
277	394	1024
278	395	1021
